Region,Gender,Year,Number_with_a_mood_disorder
Canada,Males,2010,699288
Canada,Females,2010,1183443
NFL,Males,2010,9694
NFL,Females,2010,17038
PEI,Males,2010,4812
PEI,Females,2010,5226
NS,Males,2010,26166
NS,Females,2010,43876
NB,Males,2010,16439
NB,Females,2010,33214
Quebec,Males,2010,148662
Quebec,Females,2010,204423
Ontario,Males,2010,262023
Ontario,Females,2010,490781
Manitoba,Males,2010,21331
Manitoba,Females,2010,43166
Saskatchewan,Males,2010,20281
Saskatchewan,Females,2010,34359
Alberta,Males,2010,74998
Alberta,Females,2010,153919
BC,Males,2010,112193
BC,Females,2010,153331
Yukon,Males,2010,1755
Yukon,Females,2010,1555
NWT,Males,2010,668
NWT,Females,2010,1801
Nunavut,Males,2010,NA
Nunavut,Females,2010,NA
Canada,Males,2011,707388
Canada,Females,2011,1334198
NFL,Males,2011,7543
NFL,Females,2011,18452
PEI,Males,2011,4902
PEI,Females,2011,5491
NS,Males,2011,19318
NS,Females,2011,54320
NB,Males,2011,16361
NB,Females,2011,36631
Quebec,Males,2011,126065
Quebec,Females,2011,206843
Ontario,Males,2011,309611
Ontario,Females,2011,563138
Manitoba,Males,2011,28116
Manitoba,Females,2011,55041
Saskatchewan,Males,2011,25053
Saskatchewan,Females,2011,44001
Alberta,Males,2011,70093
Alberta,Females,2011,137127
BC,Males,2011,98553
BC,Females,2011,208842
Yukon,Males,2011,1050
Yukon,Females,2011,2151
NWT,Males,2011,NA
NWT,Females,2011,1873
Nunavut,Males,2011,NA
Nunavut,Females,2011,NA
Canada,Males,2012,776500
Canada,Females,2012,1329381
NFL,Males,2012,13917
NFL,Females,2012,20840
PEI,Males,2012,2615
PEI,Females,2012,7940
NS,Males,2012,23350
NS,Females,2012,47715
NB,Males,2012,21203
NB,Females,2012,30443
Quebec,Males,2012,138250
Quebec,Females,2012,212049
Ontario,Males,2012,332766
Ontario,Females,2012,533838
Manitoba,Males,2012,30843
Manitoba,Females,2012,57022
Saskatchewan,Males,2012,25067
Saskatchewan,Females,2012,39083
Alberta,Males,2012,83023
Alberta,Females,2012,164716
BC,Males,2012,103680
BC,Females,2012,212840
Yukon,Males,2012,961
Yukon,Females,2012,780
NWT,Males,2012,NA
NWT,Females,2012,1467
Nunavut,Males,2012,NA
Nunavut,Females,2012,650
Canada,Males,2013,899995
Canada,Females,2013,1364645
NFL,Males,2013,11092
NFL,Females,2013,19223
PEI,Males,2013,4448
PEI,Females,2013,8473
NS,Males,2013,32413
NS,Females,2013,50598
NB,Males,2013,20558
NB,Females,2013,30349
Quebec,Males,2013,132640
Quebec,Females,2013,227770
Ontario,Males,2013,374323
Ontario,Females,2013,603017
Manitoba,Males,2013,19963
Manitoba,Females,2013,52704
Saskatchewan,Males,2013,28091
Saskatchewan,Females,2013,39072
Alberta,Males,2013,86409
Alberta,Females,2013,146742
BC,Males,2013,188262
BC,Females,2013,182150
Yukon,Males,2013,544
Yukon,Females,2013,2004
NWT,Males,2013,NA
NWT,Females,2013,1779
Nunavut,Males,2013,NA
Nunavut,Females,2013,NA
